speaker,title,content,sentiment,symbol,quarter
Company Participants,Unknown,"Thomas Larsen - Head of Investor Relations
Paul Hudson - Chief Executive Officer
Francois Roger - Executive Vice President, Chief Financial Officer
Thomas Triomphe - Executive Vice President, Vaccines
Brian Foard - Executive Vice President, Head of Specialty Care
Houman Ashrafian - Executive Vice President, Head of Research and Development",-1.0,SNY,2024Q4
Conference Call Participants,Unknown,"Luisa Hector - Berenberg
Graham Parry - BofA
Seamus Fernandez - Guggenheim
Peter Welford - Jefferies
Jo Walton - UBS
Richard Vosser - JPMorgan
Florent Cespedes - Bernstein Securities
David Risinger - Leerink
Peter Verdult - BNP Exane
Emmanuel Papadakis - Deutsche Bank
Eric Berrigaud - Stifel
Ricardo Benevides - Santander",-1.0,SNY,2024Q4
Thomas Larsen,Unknown,"Welcome to the Q4 and Full Year 2024 Conference Call for Investors and Analysts. As usual, you can find the slides on sanofi.com. Please turn to Slide number 3. Here we have the usual forward-looking statements. We would like to remind you that information presented in this call contains forward-looking statements, which are subject to substantial risks and uncertainties that may cause actual results to differ materially. We encourage you to read the disclaimer in our slide presentation. In addition, we refer you to our Form 20-F on file with the U.S. SEC and our French registration document for a description of these risk factors. Financials reported are under the new reporting scope that excludes Opella Consumer Health. As usual, we will be making comments on our performance using constant exchange rates and other non-IFRS measures. Numbers used are in million euros and for Q4 2024 unless stated otherwise. Please turn to Slide number 4. First, we have a presentation then we'll take your questions. Because this is a full year results, we have a few more slides, we still have time for lot of questions as we added 15 mins to the call time on top of the usual one hour. For Q&A, we have Brian, Olivier, Thomas to cover the global business and Roy, our General Counsel; and Brendan, Head of Manufacturing and Supply. For the Q&A, you have two options in Zoom, raise your hand or submit your questions using the Q&A function. With this, I'll hand call over to Paul.",-1.0,SNY,2024Q4
Paul Hudson,Unknown,"Thank you, Thomas. Hello, everyone, on the call. We made significant progress in 2024 towards becoming a focused science-driven biopharma company. Our strategic progress was emphasized by the decision to sell a controlling stake in Opella and further prioritize R&D. On the business, we achieved double-digits sales growth with strong contribution from launches. This included Beyfortus that achieved blockbuster status in its first full year of sales. In R&D, we're pleased with the positive Phase 3 results of fitusiran, rilzabrutinib, and tolebrutinib. They provide the foundation for potential launches this year, underpinning our sustainable growth. We are thrilled by the Phase 2 of duvakitug that is ready to move to Phase 3, pending regulatory feedback. Houman will share more pipeline details later. Looking at Q4 on Slide 6, we reported double-digits sales growth for a third consecutive quarter, supported by our key drivers, vaccines Dupixent and pharma launches. Taking a closer look at the launches on Slide 7, in Q4, Beyfortus sales were as high as those in the first nine months of the year combined. We now have expanded RSV protection to more than 6 million babies around the world. In hemophilia, an increasing number of patients switched to ALTUVIIIO from both factor and non-factor therapies. We're seeing strong patient benefits, and sales reached almost a €0.25 billion in Q4. We are confident in our expectations that ALTUVIIIO will become a blockbuster this year. Moving to Slide 8, Dupixent exceeded the target of €13 billion in sales, driven by the demand for more than 1 million patients globally. In Q4, Dupixent grew by 16% from strong prescription trends in all geographies. In the U.S., Dupixent continued its leadership in New to Brand prescriptions across all indications, in line with the first nine months of the year. U.S. sales growth in the quarter reflected fewer business days compared to prior quarters and the normal year end gross to net adjustments. In countries outside the U.S., Dupixent delivered more than €3.5 billion on a full year basis. In COPD, we are in the early stages of the launch, and we're seeing positive feedback from patients and prescribers. We expect the inflection point to be this year and COPD to become an important growth driver due to the large unmet medical needs. As we expand the benefits of Dupixent to more patients, we're pleased with the continued work on new indications including EoE for children in the EU, CSU outside Japan and BP globally. New uses, increased penetration and approved indications, and further geographic expansion are all important future drivers for Dupixent. Moving to Slide 9. 2024 marked a sales record for our vaccines business, crossing the €8 billion milestone, up by 13.5%. This performance was driven by Beyfortus, offering, a marked reduction in hospitalization across more than 20 countries with all infant programs. We are the only RSV MAB with real world data showing greater than 80% effectiveness in more than 100,000 babies. Our flu franchise was resilient, keeping its status as the world leader. 2024 sales exceeded initial expectations driven by our differentiated Fluzone High-Dose and Flublok. In Q4, we also made significant progress with our vaccines pipeline with the start of six new vaccine studies, including the Phase 3 study for a pneumo vaccine PCV-21 in children. Our R&D efforts in vaccines continue to be recognized by health authorities with the FDA granting Fast Track designation to our three new Phase 1, 2 flu programs. I'm pleased to share with you Sanofi's remarkable achievement in the 2024 access to medicine index. We have improved our ranking and moving from eighth to third place, underscoring our commitment to global health. Important factors for this result are governance of access, R&D, and product delivery. The Sanofi Global Health Unit plays an important role by delivering crucial medicines from the Impact Brand portfolio to 30 low- and middle-income countries. Adding on such a positive note, I would like to take this opportunity to thank all Sanofiens for their continued commitment to improve the lives of millions of patients. Thank you. I'll now hand over to Francois, our CFO, for more details on the financials.",0.0,SNY,2024Q4
Francois Roger,Unknown,"Thank you, Paul, and hello to everyone. Before I begin, just a reminder that our Q4 and full year results reflect our new reporting scope, excluding Opella. In the quarter, net sales increased by 10.3% at constant exchange rates to €10.6 billion marking our third consecutive quarter of double-digits growth. As mentioned earlier by Paul, growth was driven by new product launches as well as Dupixent. Gross margin was 74.3%, down slightly from the previous year, primarily due to the absence of COVID revenues in 2024. Excluding this COVID impact, our gross margin increased by 0.8%. The increase in operating expenses was driven by R&D, reflecting a high activity level in the quarter and brought us in line with our commitments for the full year. Business EPS was €1.31, mainly reflecting a lower gross margin and the increase in R&D and a higher tax rate following the OECD Pillar 2 implementation. Now turning to our full year results. Net sales increased by 11.3% at constant exchange rates to €41.1 billion driven by our new product launches, including Beyfortus that became a blockbuster as well as Dupixent that exceeded our ambition of €13 billion in sales. Gross profit grew by 10.3% at constant exchange rates to €31.1 billion with a gross margin of 75.7%. Our gross margin declined slightly due to the absence of any COVID revenue in 2024 and the remaining impact of the Obadio LOE. R&D expenses increased by 14.6% at constant exchange rates to €7.4 billion, fully in line with our ambition to step-up investments in our pipeline in 2024. SG&A expenses increased by 4.5%, providing an attractive gross leverage benefit. Business EPS increased by 4.1% at constant exchange rates to €7.12 exceeding our full year guidance. We landed our 2024 business EPS more than six percentage points above our initial guidance at the beginning of the year. These results reflect our ability to drive strong growth, while investing for the future and while carefully managing our cost base at the same time. Looking ahead to 2025, we would like to provide an overview of anticipated key business dynamics, which may be helpful for modeling purposes. As a reminder, at the beginning of the year, we expect to see the usual impact from the annual reset of insurance deductibles, which leads to higher utilization of our co-pay assistance program for specialty medicines in the U.S. market. We anticipate only modest headwinds from the introduction of changes to Medicare Part D under the IRA. We continue to simplify our portfolio of other medicines, and we expect around €250 million of sales reduction from disposals. We expect Beyfortus to grow further with additional penetration on geographic expansion. Our gross margin is expected to increase in 2025. R&D expenses will be slightly up as there was a one-off Sobi item last year. SG&A will also slightly increase in preparation for upcoming launches, and we expect capital gains from portfolio simplifications to be again around €500 million. Our effective tax rate should remain broadly stable compared to 2024. For our 2025 guidance, we have decided to expand our disclosure by providing sales growth in addition to EPS growth. For 2025, we project sales to grow at a mid to high single-digits percentage at constant exchange rates. This guidance now excludes any impact from hyperinflation, which accounted for about 1.8 percentage point of sales growth in 2024. We estimate a positive foreign exchange impact on sales of approximately plus 2% to 3% in 2025. Business EPS growth is expected to grow at a low double-digits percentage at constant exchange rates before foreign exchange and before share buyback impact. We estimate a positive business EPS impact from currency of approximately plus 2% to 3% as well. Shifting to our free cash flow in 2024, which was mainly impacted by three one-offs. First, the impact of price cuts of Lantus in the U.S. in H1 for €1.1 billion. Second, the entire elimination of all factoring of receivables for €1.4 billion. And third, an unfavorable exchange rate impact of €0.8 billion, all of it resulting in a closing free cash flow of €6 billion. We expect our free cash flow ratio to be back to our historical levels steadily over 2025 and 2026. The slight increase of our net debt at the end of 2024 reflects our strategic investments, including the acquisition of Inhibrx as well as our value proposition to shareholders in the form of a growing dividend. Our net debt-to-EBITDA ratio, which is actually pretty close to our net debt to BOI ratio, was at 0.7x at the end of 2024. This showcases a low gearing ratio and an optimal balance between strategic capital allocation and financial flexibility. In 2025, Sanofi will receive a cash consideration in the high single-digits in billions in euros from the Opella transaction at the earliest in Q2 while retaining a significant stake in the Company above 48%. Let me conclude by confirming our existing capital allocation policy. Our primary focus is to invest in our business to drive growth, demonstrated by our increased investment in R&D last year as well as ongoing investments in manufacturing, in AI, in digitalization as well as in sales and marketing. We will continue to explore external growth opportunities to strengthen our four existing therapeutic areas and potentially cover white spaces. In all our external investments, we maintain strict discipline and focus on value creation for our shareholders. Our preference remains for investments in a range of €2 billion to €5 billion each. We are committed to maintaining our AA credit rating in the short to medium-term. In line with our commitments to shareholders, Sanofi intends to execute a share buyback program of €5 billion in 2025. These repurchases will be conducted preferably through block trades and in the open market. Shares acquired will be canceled and will have an accretive effect to Sanofi's earning per share, mitigating part of the Opella dilution. This commitment underscores our confidence in Sanofi's future and our commitment to delivering long-term shareholder value. Our proposed dividend of €3.92 per share for 2024 marks the 30th consecutive year of dividend increase, further reflecting the emphasis we put on shareholder reward and the dependability of our dividend policy. With the proposed dividend and the share buyback, combined, we will reward shareholders with almost €10 billion in 2025. This would be a record year in terms of shareholder return for Sanofi. I now hand over to Houman to provide an update on the progress of our innovation pipeline.",0.0,SNY,2024Q4
Houman Ashrafian,Unknown,"Thank you, Francois. 2024 accelerated the transition into a company with increased focus on science with our pipeline starting to deliver meaningful benefits to patients and health care systems and growth opportunities for our company. We presented convincing clinical trial results, a recent medical meeting, including for tolebrutinib in SBMS, for rilzabrutinib in ITP, and fitusiran in hemophilia, the molecules from our pipeline that we are incidentally preparing for launch this year. As we look holistically at r and d productivity, scientific publications and high impact journals underpin our commitment to developing science and bringing new medicines and treatments to patients. We have an increasing trend of high-impact publications, and we now plan to closely track this leading indicator of improved productivity over time. Our pipeline has continued to deliver positive results, including eight positive Phase 3 readouts in 2024. We've initiated 18 mid- to late-stage studies with seven Phase 3s and six new molecular entities moving into the clinic. This increased level of activity is the main driver of R&D spend that Francois covered earlier. On the regulatory side, we've made substantial progress with 21 acceptances of our regulatory submissions, including for the three new molecules for this year. Some of these are benefiting from priority review. We received 14 approvals supporting the ongoing new launch. Please turn to the next slide. We're pleased with a significant process made for progress made for Sarclisa in 2024, including approvals of the IMROZ study in the U.S. and EU last week. During the ASH meeting, data were presented in the frontline treatment option in multiple myeloma, both for patients eligible and ineligible for autologous stem cell transplant. On the left, we have the PFS curve from the HD 7 study where Sarclisa added to a standard frontline combination demonstrated a 43% improvement in PFS based on a hazard ratio of 0.7. We're very pleased that Sarclisa continues to shine in terms of patient benefit by offering a new standard-of-care. On the right, we reference the IRAKLIA Phase 3 study of subcutaneous Sarclisa, meaning both co-primaries, non-inferiority endpoints, in addition to confirming a safety profile. Additional data from ongoing studies in combination with different standards of care and across multiple lines of treatment will support a broad application for subcutaneous administration, which we think will bring new benefits to patients in healthcare systems. The first regulatory submission is expected in the first half of 2025. On Slide 21, our commitment to rare diseases remains steadfast. Rilzabrutinib is one of the new additions to this portfolio with potential in ITP and far beyond. At ASH, we shared the Phase 3 data in ITP with rilzabrutinib being its primary endpoint of a durable platelet response in 23% of patients, compared to 0% on placebo week 25. In addition, a platelet response defined as a platelet count achieving at least 50x10 power 9 per liter or a platelet count between 30x10 power 9 per liter and 50x10 power 9 per liter that double from baseline was achieved in 65% of our patients after only 15 days of treatment. As rilzabrutinib pleiotropically addresses the underlying immunological mechanisms of the disease instead of just boosting platelets per se as some existing medicines do, it confers an improvement in the quality of life of clinical symptoms and fatigue even in non-durable response. We anticipate global approvals this year and launch as regulatory reviews are ongoing in EU, China, and in the U.S. with the PDUFA date of the 29th August. In addition, we now have meaningful benefit in Weihai IgG4-related disease from our Phase 2 programs with IgG4 being shared for the first time today. We're evaluating the move into Phase 3 with at least one of these two indications. As we remain committed to rare disease, we believe rilzabrutinib can bring significant patient benefit as we unleash the potential of pleiotropic immune modulation. On Slide 22, our partner Teva recently announced positive duvakitug Phase 2b results in IBD. IBD remains an important unmet medical need in immunology where we are underrepresented today. Duvakitug represents a meaningful opportunity for Sanofi to begin to bring new science and benefit to IBD patients, continuing immunology and far beyond. We saw statistically significant and clinically meaningful benefits in ulcerative colitis and Crohn's disease with all endpoints met and faring pleasingly competitively within the TL1A class. It is the first and only TL1A to benefit demonstrate benefit in Crohn's disease. Patients achieved strong placebo adjusted responses across both indications as high as 27.4% clinical remission in UC and 34.8% endoscopic response in Crohn's disease, both at the high dose level tested. Combined with a favorable safety and tolerability profile, these positive results offer an opportunity to advance the program into Phase 3 development and potentially offer an improved outlook for patients with moderate to severe inflammatory bowel disease relatively soon. Additionally, data will be presented at the ECA meeting later this month. I'd like to conclude with my usual news flow slide now with 2026 news flow for the first time. We plan 12 Phase 3 readouts, 15 regulatory submissions, and 13 regulatory decisions in multiple jurisdictions increasingly capturing the improving value of our clients. Importantly, we also see the intensity of the news flow increase over the coming two years, building on our earlier comment about our focus on improving R&D productivity. The cadence and the volume of the R&D drumbeat continue to quicken. We look forward to updating you on our progress. As I regularly say, we remain humble in the face of disease, and regrettably, not everything will work. However, I'm optimistic that the impact of talented science-focused teams coupled to our increasing exposure to breathtaking digital technologies will drive this unique pipeline in our core focus therapy areas in the service of patients. I would like to thank all of my brilliant R&D team members and colleagues across this company for the positive progress made this year. We are indeed chasing the miracles of science to improve people's lives. With this, I hand back to Paul for Q&A.",0.0,SNY,2024Q4
Paul Hudson,Unknown,"Well, thank you, Houman. Thank you, Francois. We're now called your questions. As a reminder, we'd ask you to limit your questions to one or two each. I've said this every time. I don't know, if everybody hears that part. You'll be notified when your line is open to ask your question at that time. Please make sure you unmute your microphone or option two, submit your question by clicking the Q&A icon at the bottom of the screen. Your question will be read, by our panelists. Now, we'll take the first question, please. Question-and-Answer Session",-1.0,SNY,2024Q4
Operator,Unknown,Yes. The first question will be from Luisa Hector from Berenberg. Lusia?,-1.0,SNY,2024Q4
Luisa Hector,Unknown,"On the buyback, perhaps you could just comment on the rationale for the size, the €5 billion, and how soon you might start the buyback, and then any color on plans for the rest of your proceeds? Essentially, just latest thoughts on M&A targets by development stage, therapy area, size, et cetera. Perhaps then I could move to vaccines. I would like to ask Thomas some questions, maybe on the pneumococcal vaccine, so the Phase 3 entry. Very exciting. Perhaps a bit more color on what you're looking to show in Phase 3 and how you see the competitive landscape because there are others coming forward with vaccines perhaps with higher valency 24, 31, so how you see a 21 valent vaccine fitting in?",-0.54,SNY,2024Q4
Paul Hudson,Unknown,"Thank you, Louise. I counted eight questions. Okay. So, buyback, sizing, timing, proceeds, over to you, Francois.",-1.0,SNY,2024Q4
