date,sentiment_mean,sentiment_std,sentiment_count,sentiment_min,sentiment_max,relevance_mean,relevance_sum,overall_sentiment_mean,overall_sentiment_std,source_count,article_count,sentiment_polarity,sentiment_momentum,sentiment_volatility,weighted_sentiment,sentiment_ma_3d,sentiment_std_3d,article_count_ma_3d,relevance_ma_3d,sentiment_trend_3d,sentiment_ma_7d,sentiment_std_7d,article_count_ma_7d,relevance_ma_7d,sentiment_trend_7d,sentiment_ma_14d,sentiment_std_14d,article_count_ma_14d,relevance_ma_14d,sentiment_trend_14d,sentiment_ma_30d,sentiment_std_30d,article_count_ma_30d,relevance_ma_30d,sentiment_trend_30d,sentiment_rsi,sentiment_macd,sentiment_macd_signal,sentiment_bb_upper,sentiment_bb_lower,sentiment_rate_of_change,sentiment_acceleration,Blockchain_relevance_score,Earnings_relevance_score,Economy - Fiscal_relevance_score,Economy - Macro_relevance_score,Economy - Monetary_relevance_score,Energy & Transportation_relevance_score,Finance_relevance_score,Financial Markets_relevance_score,IPO_relevance_score,Life Sciences_relevance_score,Manufacturing_relevance_score,Mergers & Acquisitions_relevance_score,Real Estate & Construction_relevance_score,Retail & Wholesale_relevance_score,Technology_relevance_score,Blockchain_sentiment_score,Earnings_sentiment_score,Economy - Fiscal_sentiment_score,Economy - Macro_sentiment_score,Economy - Monetary_sentiment_score,Energy & Transportation_sentiment_score,Finance_sentiment_score,Financial Markets_sentiment_score,IPO_sentiment_score,Life Sciences_sentiment_score,Manufacturing_sentiment_score,Mergers & Acquisitions_sentiment_score,Real Estate & Construction_sentiment_score,Retail & Wholesale_sentiment_score,Technology_sentiment_score,Blockchain_weighted_sentiment,Earnings_weighted_sentiment,Economy - Fiscal_weighted_sentiment,Economy - Macro_weighted_sentiment,Economy - Monetary_weighted_sentiment,Energy & Transportation_weighted_sentiment,Finance_weighted_sentiment,Financial Markets_weighted_sentiment,IPO_weighted_sentiment,Life Sciences_weighted_sentiment,Manufacturing_weighted_sentiment,Mergers & Acquisitions_weighted_sentiment,Real Estate & Construction_weighted_sentiment,Retail & Wholesale_weighted_sentiment,Technology_weighted_sentiment,weighted_sentiment_mean,weighted_sentiment_sum,avg_source_weight,unique_sources
2024-01-01,0.16971875,0.198253411357577,4,0.058098,0.466601,0.22523175,0.900927,0.26183,0.0382975897675036,3,4,bullish,0.0,0.198253411357577,0.0382260510703125,0.16971875,0.198253411357577,4.0,0.22523175,0.0,0.16971875,0.198253411357577,4.0,0.22523175,0.0,0.16971875,0.198253411357577,4.0,0.22523175,0.0,0.16971875,0.198253411357577,4.0,0.22523175,0.0,50.0,0.0,0.0,0.5662255727151541,-0.226788072715154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0382260510703125,0.15290420428125,0.22523175,3
2024-01-02,0.07103875,0.1047418458731593,4,-0.070391,0.182644,0.154547,0.6181880000000001,0.1961655,0.0909936406001357,3,4,neutral,-0.09868,0.1514976286153682,0.01097882569625,0.12037875,0.1514976286153682,4.0,0.189889375,0.0,0.12037875,0.1514976286153682,4.0,0.189889375,0.0,0.12037875,0.1514976286153682,4.0,0.189889375,0.0,0.12037875,0.1514976286153682,4.0,0.189889375,0.0,50.0,0.0,0.0,0.4233740072307363,-0.1826165072307363,-0.5814325170318542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01097882569625,0.043915302785,0.154547,3
2024-01-03,0.1546044666666666,0.2151046339345663,15,-0.282834,0.597362,0.3824140666666666,5.736211,0.1444838666666666,0.1635322262691741,10,15,bullish,0.0835657166666666,0.1726999637217675,0.0591229228228311,0.1317873222222222,0.1726999637217675,7.666666666666667,0.2540642722222222,0.0,0.1317873222222222,0.1726999637217675,7.666666666666667,0.2540642722222222,0.0,0.1317873222222222,0.1726999637217675,7.666666666666667,0.2540642722222222,0.0,0.1317873222222222,0.1726999637217675,7.666666666666667,0.2540642722222222,0.0,50.0,0.0,0.0,0.4771872496657574,-0.2136126052213129,1.1763399083833352,0.1822457166666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0591229228228311,0.8868438423424666,0.3824140666666666,10
2024-01-04,0.3117997333333333,0.2265260055236379,15,-0.106076,0.604151,0.5086648666666667,7.629973,0.2541289333333333,0.0993631249130945,8,15,bullish,0.1571952666666666,0.1861564741722352,0.1586015697827022,0.17914765,0.1821241617771212,11.333333333333334,0.3485419777777778,0.1420809833333333,0.176790425,0.1861564741722352,9.5,0.3177144208333333,0.0,0.176790425,0.1861564741722352,9.5,0.3177144208333333,0.0,0.176790425,0.1861564741722352,9.5,0.3177144208333333,0.0,50.0,0.0,0.0,0.5491033733444703,-0.1955225233444703,1.0167576012249753,0.07362955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1586015697827022,2.379023546740533,0.5086648666666667,8
2024-01-05,0.0745946470588235,0.2765153073886555,17,-0.83962,0.55775,0.2919984117647058,4.963973,0.1350342352941176,0.1686660365646894,10,17,neutral,-0.2372050862745098,0.2042282408155192,0.0217815184673252,0.1803329490196078,0.2393819822822866,15.666666666666666,0.3943591150326797,0.0035558970588235,0.1563512694117647,0.2042282408155192,11.0,0.3125712190196078,0.0,0.1563512694117647,0.2042282408155192,11.0,0.3125712190196078,0.0,0.1563512694117647,0.2042282408155192,11.0,0.3125712190196078,0.0,50.0,0.0,0.0,0.5648077510428032,-0.2521052122192737,-0.760761029968306,-0.3944003529411765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0217815184673252,0.3702858139445293,0.2919984117647058,10
2024-01-06,0.0971674999999999,0.0242304280709194,2,0.080034,0.114301,0.1177595,0.235519,0.157098,0.1031117250461847,1,2,neutral,0.0225728529411764,0.1694236441581877,0.01144239621625,0.1611872934640522,0.1757572469944043,11.333333333333334,0.3061409261437908,-0.0574369666666666,0.1464873078431372,0.1742286053580859,9.5,0.2801025991830065,0.0,0.1464873078431372,0.1742286053580859,9.5,0.2801025991830065,0.0,0.1464873078431372,0.1742286053580859,9.5,0.2801025991830065,0.0,50.0,0.0,0.0,0.4949445185593091,-0.2019699028730346,0.3026068736993428,0.2597779392156862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01144239621625,0.0228847924325,0.1177595,1
2024-01-07,0.117667,0.0266543514458709,3,0.098082,0.148021,0.0635793333333333,0.190738,0.2296926666666666,0.04937119020576,3,3,neutral,0.0204995,0.15380614527273,0.0074811894153333,0.0964763823529411,0.1091333623018152,7.333333333333333,0.1577790816993464,-0.1941327333333333,0.1423701210084033,0.1531465690849123,8.571428571428571,0.2491707040616246,0.0,0.1423701210084033,0.1531465690849123,8.571428571428571,0.2491707040616246,0.0,0.1423701210084033,0.1531465690849123,8.571428571428571,0.2491707040616246,0.0,50.0,0.0,0.0,0.4486632591782281,-0.1639230171614213,0.2109707463915406,-0.0020733529411764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0074811894153333,0.022443568246,0.0635793333333333,3
2024-01-08,0.215543875,0.159272335713248,8,-0.099994,0.370763,0.46025875,3.68207,0.224420875,0.082437678620948,3,8,bullish,0.0978768749999999,0.1426396856284663,0.0992059544776562,0.1434594583333333,0.0700523717433461,4.333333333333333,0.2138658611111111,0.1409492279411764,0.1489165674369748,0.1475778439928654,9.142857142857142,0.2827459897759103,0.0458251249999999,0.1515168402573529,0.1539122899134543,8.5,0.2755567098039215,0.0,0.1515168402573529,0.1539122899134543,8.5,0.2755567098039215,0.0,50.0,0.0,0.0,0.4593414200842616,-0.1563077395695557,0.8318124452905231,0.0773773749999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0992059544776562,0.79364763582125,0.46025875,3
2024-01-09,0.0600758333333333,0.0779727671085659,6,-0.078127,0.15682,0.1836121666666667,1.101673,0.2531716666666666,0.0809464975565136,4,6,neutral,-0.1554680416666666,0.1129290379454519,0.0110306539226388,0.1310955694444444,0.0879664847558949,5.666666666666667,0.23581675,-0.0370916666666666,0.1473504364845938,0.1437536898836377,9.428571428571429,0.286898156442577,-0.0109629166666666,0.1413567283769063,0.1454745651573556,8.222222222222221,0.2653406494553377,0.0,0.1413567283769063,0.1454745651573556,8.222222222222221,0.2653406494553377,0.0,50.0,0.0,0.0,0.4323058586916175,-0.1495924019378049,-0.7212825772324389,-0.2533449166666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0110306539226388,0.0661839235358333,0.1836121666666667,4
2024-01-10,0.1125698,0.1189789297096105,10,-0.136867,0.249228,0.1984575,1.984575,0.1975437,0.1120319603357799,5,10,neutral,0.0524939666666666,0.0814217624096429,0.0223403210835,0.1293965027777777,0.1187413441771415,8.0,0.2807761388888889,-0.0050971999999999,0.1413454841036414,0.1300214464229297,8.714285714285714,0.2606186469187675,-0.0420346666666666,0.1384780355392157,0.1428250016125811,8.4,0.2586523345098039,0.0,0.1384780355392157,0.1428250016125811,8.4,0.2586523345098039,0.0,50.0,0.0,0.0,0.4241280387643779,-0.1471719676859465,0.8737950645711674,0.2079620083333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0223403210835,0.223403210835,0.1984575,5
